state	from	to	time
10000	Europe	Australia	0.1970267848847111
10000	Australia	Europe	0.2857794837777373
10000	Australia	NorthAmerica	0.19337925688571297
10000	Australia	Europe	0.25625450495140445
10000	Europe	Australia	0.2675121058721722
10000	Europe	Australia	0.2879698366998864
10000	Australia	Europe	0.33264165981954713
10000	Australia	Europe	0.146628203293556
10000	Australia	Europe	0.15888031244469888
10000	Europe	Australia	0.21727777336021856
10000	Australia	NorthAmerica	0.150614030873472
10000	Australia	Europe	0.16779589530959912
10000	Europe	Australia	1.039396492940201
10000	Australia	Europe	0.6861963884487836
10000	Europe	Australia	0.6505999991705482
10000	Australia	Europe	0.21629156416340364
10000	Australia	Europe	0.28904218635674905
10000	Australia	Europe	0.46810172132163963
10000	Australia	NorthAmerica	0.21269949809685224
10000	Australia	Europe	0.150673546427819
10000	Australia	NorthAmerica	0.1397170751200106
10000	Australia	Europe	0.21416506153724219
10000	Australia	Europe	0.20747131478704167
10000	Europe	Australia	0.1913953659663749
20000	Australia	Asia	0.1743819488696462
20000	Australia	Europe	0.3512171651929198
20000	Australia	NorthAmerica	0.1540452413671756
20000	Australia	NorthAmerica	0.2191240770059335
20000	Australia	Europe	0.17317325993410565
20000	Europe	Australia	0.29883529758599786
20000	Australia	NorthAmerica	0.43788482117168526
20000	Australia	Asia	0.16284980544919692
20000	Australia	Europe	0.12313271026243641
20000	Australia	Europe	0.19638412419445783
20000	Australia	Europe	0.18657508989610921
20000	Australia	NorthAmerica	0.1927982938876115
20000	Australia	Europe	0.2750048262734426
20000	Europe	Australia	0.2151972882762353
20000	Europe	Australia	0.15667904520596265
20000	Australia	NorthAmerica	0.13198689283816994
20000	Australia	Europe	0.19021637547552633
20000	Australia	NorthAmerica	0.1720708330604906
20000	Australia	NorthAmerica	0.19113735937725296
20000	Australia	Europe	0.2799399812013144
20000	Europe	Australia	0.15797234887924075
20000	Australia	Europe	0.13756245056149924
20000	Australia	Europe	0.18691896878249176
20000	Australia	Asia	0.10909659013807785
20000	Australia	Europe	0.214532993584082
20000	Australia	Europe	0.14201192333785795
20000	Australia	Europe	0.20132333771263602
20000	Europe	Australia	0.15983489069663134
20000	Australia	NorthAmerica	0.209133050649502
20000	Australia	Europe	0.13300247195083298
20000	Australia	Europe	0.169421432894946
20000	Australia	Europe	0.17958589050476886
20000	Europe	Australia	0.7716964631151809
20000	Australia	Asia	0.7042383175861094
20000	Australia	Europe	0.09011924162049495
20000	Australia	NorthAmerica	0.49748514161777363
20000	Australia	NorthAmerica	0.19072772334756896
20000	Australia	Europe	0.15026101487618818
20000	Australia	Europe	0.17653896623809456
20000	Australia	NorthAmerica	0.26632753965161027
20000	Australia	Europe	0.11668803389770879
20000	Australia	Europe	0.17836300592432824
20000	Australia	SouthAmerica	0.1432306014322794
20000	Australia	NorthAmerica	0.1503295671419002
20000	Australia	Europe	0.24733522813626577
20000	Australia	NorthAmerica	0.18331070996735077
20000	Australia	Europe	0.1554913420761527
20000	Australia	Europe	0.43516676806927534
20000	Australia	Europe	0.16870215072861247
20000	Australia	Asia	0.26294623240923504
20000	Australia	Europe	0.2554226468366928
20000	Australia	Europe	0.20630551774689943
20000	Australia	NorthAmerica	0.38035882452093156
20000	Australia	Europe	0.2267548831188323
20000	Europe	Australia	0.14873260227190116
20000	Australia	Europe	0.1313913907015523
20000	Australia	NorthAmerica	0.38274444785766537
20000	Australia	SouthAmerica	0.09293998993286301
20000	Australia	NorthAmerica	0.14672556635098138
20000	Australia	Europe	0.18213155557493127
20000	Australia	NorthAmerica	0.19007813714893612
20000	Australia	Europe	0.16642599030765
20000	Australia	Europe	0.09245792548324624
20000	Australia	Europe	0.22679022396854165
20000	Europe	Australia	0.1938577121379017
20000	Australia	NorthAmerica	0.18093846043850387
20000	Australia	Europe	0.10168485932711747
20000	Australia	NorthAmerica	0.2137765474915866
20000	Australia	Europe	0.2783187674905194
20000	Australia	NorthAmerica	0.3729714980485028
20000	Australia	NorthAmerica	0.1932773433800019
20000	Europe	Australia	0.21394833122831203
20000	Australia	Europe	0.30173766280837255
20000	Europe	Australia	0.23784421824152846
20000	Australia	Europe	0.25801099165528524
20000	Europe	Australia	0.2797991881412335
20000	Australia	Europe	0.17633754555139544
20000	Australia	Europe	0.19726727971899086
20000	Australia	Europe	0.22669642643799195
20000	Australia	NorthAmerica	0.1758708572815225
20000	Australia	NorthAmerica	0.23673266849196117
20000	Australia	NorthAmerica	0.10323219297496489
20000	Australia	NorthAmerica	0.1573635218714052
20000	Australia	Europe	0.15640736066853378
20000	Australia	Asia	0.17072342367604218
20000	Australia	Europe	0.3050365768106049
20000	Australia	Europe	0.18938706220423318
20000	Australia	NorthAmerica	0.18013695396984197
20000	NorthAmerica	Africa	0.07820785733375595
20000	Australia	NorthAmerica	0.18546860609794968
20000	Australia	Europe	0.16118882196345619
20000	Australia	Europe	0.18187327545743917
20000	Australia	Asia	0.4403436324916268
20000	Australia	NorthAmerica	0.3840106363982403
20000	Australia	Asia	0.6572097905047214
20000	Australia	Europe	0.21162574699032305
20000	Australia	Europe	0.16612581276615096
20000	Australia	NorthAmerica	0.19545483709267952
20000	Europe	Australia	0.17519123604744685
20000	Australia	Europe	0.22234318667999395
20000	Australia	NorthAmerica	0.2936005154097176
20000	NorthAmerica	Africa	0.22877264475130119
20000	Australia	Europe	0.3196992839146301
20000	Australia	Asia	0.36501965800849767
20000	Australia	Asia	0.1467199497200142
20000	Australia	NorthAmerica	0.23301395798498709
20000	Australia	NorthAmerica	0.26500291498563777
20000	Australia	NorthAmerica	0.15032529905951014
20000	Australia	Europe	0.1950618440095462
20000	Australia	Asia	0.12141386976849562
20000	Australia	Europe	0.20468926969581
20000	Australia	NorthAmerica	0.12668195763826917
20000	Australia	Europe	0.07807333052102536
20000	Australia	Europe	0.11502159335828652
20000	Australia	Europe	0.43273048296869576
20000	Australia	NorthAmerica	0.21887285518322303
20000	Europe	Australia	0.21283943231509847
20000	Australia	NorthAmerica	0.23023437794212892
20000	Australia	NorthAmerica	0.24252754264094936
20000	Australia	Europe	0.36398375221613166
20000	Europe	Australia	0.27068972920660084
20000	Australia	Europe	0.20597859787051348
20000	Australia	Asia	0.46884096319124363
20000	Europe	Australia	0.7381337626682065
20000	Australia	NorthAmerica	0.2320621113599143
20000	Australia	NorthAmerica	0.30755676012461514
20000	Australia	Europe	0.1719089086759591
20000	Australia	Europe	0.19308323440832617
20000	Australia	NorthAmerica	0.21912363178644909
20000	Australia	NorthAmerica	0.19748313709732515
20000	Australia	Europe	0.30236647166682545
20000	Australia	Europe	0.18365580635693413
20000	Australia	Europe	0.23002002155877524
20000	Australia	NorthAmerica	0.2285139027010016
20000	Australia	Europe	0.2350475202686867
20000	Australia	Europe	0.2536197116289365
20000	Australia	NorthAmerica	0.30583805212624915
20000	Australia	Europe	0.24930035437763728
20000	Europe	Australia	0.6406886489373218
20000	Europe	Australia	0.8448077029065166
20000	Australia	Europe	0.32678639689977884
20000	Australia	Europe	0.4819251940385648
20000	Europe	Australia	0.40425579758414837
20000	Australia	Europe	0.3355394429325761
20000	Europe	Australia	0.939508382489189
20000	Australia	Europe	0.2393723078832504
20000	Australia	Europe	0.2584397940258316
20000	Australia	Europe	0.3798424147313266
20000	Australia	Europe	0.17720991107604733
20000	Australia	Europe	0.2809299349351086
20000	Australia	Europe	0.3670002719465896
20000	Australia	NorthAmerica	0.20834239347291655
20000	Australia	Europe	0.16816915503305652
20000	Australia	NorthAmerica	0.27345246755476627
20000	Australia	Europe	0.34007335661455257
30000	Australia	Asia	0.5434502338378763
30000	Europe	Australia	0.6080687528052968
30000	Australia	Europe	0.4439213341352006
30000	Europe	Australia	0.3784466897235944
30000	Australia	Europe	0.32672609506188127
30000	Australia	NorthAmerica	0.208123809850689
30000	Australia	NorthAmerica	0.2978482579192585
30000	Europe	Australia	0.21578487055483878
30000	Australia	NorthAmerica	0.32976735323934864
30000	Australia	Asia	0.09188238927698894
30000	Australia	Europe	0.40449055467059963
30000	Australia	Europe	0.3709388268997442
30000	Europe	Australia	0.5729612204038403
30000	Australia	NorthAmerica	0.5365344428174893
30000	Australia	Europe	0.21046365886230564
30000	Europe	Australia	0.16412657945763165
30000	Australia	NorthAmerica	0.13942877751324495
30000	Australia	Europe	0.44176645311764007
30000	Australia	NorthAmerica	0.23513211717618487
30000	Australia	NorthAmerica	0.19806277206305165
30000	Australia	Europe	0.19678873918939133
30000	Europe	Australia	0.17971683627186474
30000	Australia	Europe	0.1726232070780751
30000	Australia	Asia	0.1758942584643627
30000	Europe	Australia	0.18660183759272736
30000	Australia	Europe	0.12128473136890278
30000	Australia	Europe	0.22724312993515747
30000	Europe	Australia	0.14071900053141473
30000	Europe	Australia	0.334319469839471
30000	Australia	Europe	0.31727833847126574
30000	Europe	Australia	0.23959802000392091
30000	Europe	Australia	0.2799625218388928
30000	Australia	NorthAmerica	0.1970628637441898
30000	Europe	Australia	0.1417739856176508
30000	Australia	Europe	0.18937585274059407
30000	Europe	Australia	1.114965600508039
30000	Australia	Asia	0.8073256146560355
30000	Australia	NorthAmerica	0.5334862390730651
30000	Australia	Europe	0.20064966320563138
30000	Europe	Australia	0.14821881784200036
30000	Europe	Australia	0.3186232657975396
30000	Australia	Europe	0.267720647415674
30000	Australia	Europe	0.22076055320333815
30000	Australia	SouthAmerica	0.14120907512325465
30000	Australia	NorthAmerica	0.22354235805210668
30000	Australia	NorthAmerica	0.2530998288361726
30000	Australia	Europe	0.19563956872666058
30000	Australia	NorthAmerica	0.16575474345982497
30000	Australia	NorthAmerica	0.13625750204087272
30000	Australia	Europe	0.16193434007143628
30000	Australia	Europe	0.33342853761776825
30000	Australia	Europe	0.18989689329875709
30000	Europe	Australia	0.2626709258704232
30000	Europe	Australia	0.26573704203702164
30000	Australia	Asia	0.2615862049648981
30000	Europe	Australia	0.19635876477517744
30000	Australia	NorthAmerica	0.18074509838925468
30000	Australia	NorthAmerica	0.1459276097857925
30000	Australia	NorthAmerica	0.4022653467764208
30000	Europe	Australia	0.1520012730106438
30000	Australia	SouthAmerica	0.12675063989280455
30000	Australia	NorthAmerica	0.15189480592828863
30000	Australia	Europe	0.291524318181145
30000	Europe	Australia	0.17576832840966866
30000	Australia	NorthAmerica	0.1881504489087803
30000	Australia	NorthAmerica	0.1566218053428228
30000	Australia	Europe	0.21035079184682776
30000	Europe	Australia	0.20448977235407004
30000	Australia	NorthAmerica	0.13240746734039
30000	Australia	Europe	0.3011266382087857
30000	Europe	Australia	0.1719576336536179
30000	Australia	Europe	0.2824780550221272
30000	Australia	NorthAmerica	0.22160924186912853
30000	Australia	NorthAmerica	0.3078225818971995
30000	Australia	NorthAmerica	0.15257984185573792
30000	Europe	Australia	0.1838288090877346
30000	Australia	Europe	0.29911523036492077
30000	Europe	Australia	0.3483185445332267
30000	Europe	Australia	0.231895099244674
30000	Australia	Europe	0.2518092702556032
30000	Europe	Australia	0.25073441783563916
30000	Australia	NorthAmerica	0.2607764460358257
30000	Europe	Australia	0.2069252300212694
30000	Europe	Australia	0.13181568339167177
30000	Australia	NorthAmerica	0.1777940965624284
30000	Australia	NorthAmerica	0.16347214851435724
30000	Australia	NorthAmerica	0.09819903785872708
30000	Australia	Asia	0.16218672771747322
30000	Australia	Europe	0.24073459020665108
30000	Europe	Australia	0.23339358103159197
30000	Europe	Australia	0.23680416927351303
30000	Europe	Australia	0.2112123635815855
30000	Australia	NorthAmerica	0.11406228130184966
30000	NorthAmerica	Africa	0.08802118117193233
30000	Australia	NorthAmerica	0.140037925118361
30000	Europe	Australia	0.6593472057253363
30000	Australia	Europe	0.19500430053147205
30000	Australia	Asia	0.4808438833197348
30000	Australia	NorthAmerica	0.42659443804596753
30000	Australia	Asia	0.4316799626727921
30000	Australia	Europe	0.14061027751650496
30000	Europe	Australia	0.22320730735745134
