state	from	to	time
10000	Australia	Asia	0.5326318214096399
10000	Australia	Europe	0.18911510817881455
10000	Australia	NorthAmerica	0.19933816634833068
10000	Australia	Europe	0.16308641454471978
10000	Europe	Australia	0.15632283560810536
10000	Europe	NorthAmerica	0.19094984578785407
10000	Australia	NorthAmerica	0.09167772219593992
10000	Europe	Africa	0.12093396055952778
10000	Africa	SouthAmerica	0.1193648194464169
10000	Europe	Australia	0.12798276367269035
10000	Australia	NorthAmerica	0.1301680308432461
10000	Australia	NorthAmerica	0.18203746563267695
10000	Australia	Europe	0.13700344553997323
10000	Australia	NorthAmerica	0.16788015924048172
10000	Australia	Asia	0.18816901416486753
10000	Europe	Australia	0.1782694846324828
10000	Australia	Europe	0.1875062575959641
10000	Australia	Europe	0.6207682987849882
10000	Europe	Australia	0.5198113057022113
10000	Australia	Europe	0.219796560466859
10000	Australia	Europe	0.11428338240885205
10000	Australia	NorthAmerica	0.2622820519539427
10000	Europe	NorthAmerica	0.09855639923305928
10000	Australia	NorthAmerica	0.21232113155303753
10000	Australia	Europe	0.13282147527383853
10000	Australia	Asia	0.16153283790951364
10000	Australia	Europe	0.1878747595403142
10000	Australia	NorthAmerica	0.21924304891162186
10000	Australia	Europe	0.21825222203176817
10000	Australia	Europe	0.21620819859425008
10000	Europe	Australia	0.17365043352674359
10000	Australia	Asia	0.2440698259668684
10000	Europe	NorthAmerica	0.2221573076416649
10000	Australia	Europe	0.5037459212530786
10000	Europe	Australia	0.4407046743150046
10000	Australia	Europe	0.2566814467919004
10000	Europe	Australia	0.2548382821042671
10000	Australia	NorthAmerica	0.11688004120580775
10000	Australia	Europe	0.25956274012604874
10000	Australia	NorthAmerica	0.28632028279047606
10000	NorthAmerica	Europe	0.2605605504803483
10000	Australia	Europe	0.16539162287241227
10000	Australia	Europe	0.1673016971788723
10000	Europe	Australia	0.12356843012725938
10000	Europe	NorthAmerica	0.1493706977286799
10000	Australia	NorthAmerica	0.220121877535892
10000	Australia	NorthAmerica	0.19923830714280838
10000	Europe	Australia	0.1853321078396083
10000	Australia	NorthAmerica	0.18706480609593928
10000	Europe	Australia	0.20142821490329765
10000	Australia	NorthAmerica	0.05773089103996207
10000	Australia	Europe	0.18745181844485337
10000	Europe	NorthAmerica	0.1561313920402113
10000	Europe	NorthAmerica	0.16406552053935627
10000	Australia	Europe	0.19348688704720687
10000	Australia	NorthAmerica	0.23759479350365112
10000	Australia	NorthAmerica	0.16996410467504727
10000	Australia	NorthAmerica	0.18787083803267599
10000	Australia	NorthAmerica	0.13936072747333506
10000	Europe	NorthAmerica	0.14851997096522174
10000	Australia	Asia	0.1298249889981562
10000	Australia	Asia	0.12683364520136323
10000	Australia	Europe	0.1876619302419838
10000	Australia	Europe	0.17995155984590286
10000	Australia	Europe	0.11150318936778184
10000	Australia	Asia	0.09328258495017797
10000	Australia	Europe	0.35348932565110047
10000	Australia	Europe	0.4485148310076523
10000	Europe	NorthAmerica	0.3744446646237855
10000	NorthAmerica	Europe	0.23603822245181308
10000	Australia	Europe	0.07082683108720675
10000	Australia	Europe	0.08989186869764303
10000	Australia	NorthAmerica	0.1487925853131795
10000	Europe	Africa	0.2143346829633597
10000	Australia	Europe	0.1993820778812646
10000	Europe	Australia	0.1474818583177322
10000	Australia	Asia	0.3622758431600616
10000	Australia	NorthAmerica	0.1788075451477974
10000	NorthAmerica	Europe	0.13575039728997673
10000	Australia	Asia	0.3338058113603332
10000	Europe	NorthAmerica	0.19034353853474845
10000	Australia	Asia	0.31155308363645806
10000	Australia	NorthAmerica	0.20199385756136407
10000	Australia	Europe	0.2044965878554867
10000	Australia	NorthAmerica	0.15686422087427068
10000	Europe	NorthAmerica	0.19142986782390103
10000	Australia	NorthAmerica	0.1664509465065294
10000	Australia	NorthAmerica	0.24732095448653355
10000	Australia	Europe	0.1784798988174049
10000	Europe	Australia	0.2949805354698365
10000	Australia	NorthAmerica	0.202167596944922
10000	Australia	Europe	0.1080686891077638
10000	Europe	Australia	0.1430457264056542
10000	Australia	NorthAmerica	0.3127798394509095
10000	NorthAmerica	Europe	0.26487355530426293
10000	Australia	Europe	0.24891465766065196
10000	NorthAmerica	Europe	0.12257536852393319
10000	Australia	NorthAmerica	0.20368360438909416
10000	Australia	NorthAmerica	0.20988808984882515
10000	Australia	NorthAmerica	0.16336239076115924
10000	Australia	NorthAmerica	0.1465150080595654
10000	Australia	Asia	0.17635119637133448
10000	Australia	Europe	0.16717679807048325
10000	Australia	Europe	0.12428033539280547
10000	Australia	NorthAmerica	0.12929142092946377
10000	Australia	Europe	0.45048791004632627
10000	Australia	Europe	0.1746877910018229
10000	Australia	NorthAmerica	0.14027494971475066
10000	NorthAmerica	Europe	0.13072646506639868
10000	Australia	Europe	0.16207495286390344
10000	Australia	Europe	0.18279406090815536
10000	Europe	NorthAmerica	0.18102008977773276
10000	Australia	Europe	0.25619948598988573
10000	Europe	NorthAmerica	0.20856975126052082
10000	Australia	NorthAmerica	0.18927105211775844
10000	Australia	NorthAmerica	0.1782192877392032
10000	Australia	Europe	0.19766023809000147
10000	Australia	Europe	0.16471866956507983
10000	Australia	NorthAmerica	0.1671248192641374
10000	Australia	Europe	0.1909803091847485
10000	Australia	NorthAmerica	0.19709163287590095
10000	Australia	Europe	0.18848420493937662
10000	Australia	NorthAmerica	0.16610031762392963
10000	Australia	Europe	0.2779484519723254
10000	Europe	NorthAmerica	0.23295109049284274
10000	Australia	NorthAmerica	0.1422026610464654
10000	Australia	Europe	0.11897830578903965
10000	Europe	Africa	0.16835276960680753
10000	Europe	Africa	0.18250009782770954
10000	Africa	SouthAmerica	0.1244702709365188
10000	Europe	Australia	0.12545275806715894
10000	NorthAmerica	Europe	0.13978433507636726
10000	Europe	NorthAmerica	0.12738348670003566
10000	Australia	Europe	0.33919051223125785
10000	Australia	Asia	0.17832246339917898
10000	Australia	NorthAmerica	0.21482750116643473
10000	Australia	Europe	0.17662092968967746
10000	Australia	NorthAmerica	0.18330014292719238
10000	Australia	Europe	0.20568576023440677
10000	Australia	NorthAmerica	0.1537398757978525
10000	Australia	Asia	0.29429084255120197
10000	Australia	NorthAmerica	0.21780606387666007
10000	Australia	Europe	0.14770396887173254
10000	Australia	NorthAmerica	0.16739326168955146
10000	Australia	Europe	0.17089671041335752
10000	Australia	Europe	0.2120166951682897
10000	Australia	Europe	0.21212473778343238
10000	Australia	NorthAmerica	0.368903104423664
10000	Australia	Europe	0.24248431560581588
10000	Australia	Europe	0.1474036366029474
10000	Australia	Europe	0.24377544509944252
10000	Australia	Europe	0.18211872338409418
